id,name,description,price,stock,category,tags
,Care Satin Oil Mask - 200ml,"A sumptuous, supremely moisturizing mask perfect for dull, dry hair. Use once or twice a week to nourish and treat. After cleansing, towel dry, work through lengths and ends, indulge and rinse thoroughly. If you want to go all out, wrap a warm towel around your head while Satin Oil Mask sinks in. Its rich formula is made with maracuja, baobab and monoï oil and a blend of five essential minerals so your hair is left feeling good and looking great: healthy, soft and shiny. Good for all hair types, this is a moisturizing must-have.

<b>INGREDIENTS</b>
Aqua (Water), Cetearyl Alcohol, Behentrimonium Chloride, Stearamidopropyl Dimethylamine, Cetyl Esters, Glycerin, Helianthus Annuus Hybrid (Sunflower Seed) Oil, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Quaternium-87, Isopropyl Alcohol, Citric Acid, Candelilla Cera (Euphorbia Cerifera (Candelilla) Wax), Caprylyl Glycol, Panthenol, Sodium Benzoate, Propylene Glycol, Dipropylene Glycol, Parfum (Fragrance), Cocos Nucifera (Coconut) Oil, Passiflora Incarnata (Seed) Oil, Hydrolyzed Wheat Protein, Gardenia Tahitensis Flower Extract, Saccharomyces/Magnesium Ferment, Adansonia Digitata (Seed) Oil, Saccharomyces/Iron Ferment, Tocopherol, CI 14700 (Red 4), Saccharomyces/Zinc Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, CI 19140 (Yellow 5).

Disclaimer: product information such as ingredients may change. Always read the packaging or instructions for use before using the product.",15.00,4,Hair Care,Keune
16921,APPLE SKIN Exfoliating Cream - Home Care,,6.00,9,Skin Care,Fler
16925,Mousse Bio Restorative Moisturizing Facial Flér Apple Skin 45g,,15.00,8,Skin Care,
16928,APPLE SKIN Soothing Soap 110ml,,6.00,8,Skin Care,Fler
16932,APPLE SKIN Astringent Tonic Lotion 110ml,,6.00,9,Skin Care,Fler
,Care Lumi Coat Supreme Cream 95ml,,15.00,4,Hair Care,Keune
,Style Defriss serum,"Get ready for some smooth moves with N°17 Defrizz Serum – as you calm the frizz down. Used as a finishing touch when styling, this serum leaves hair healthy, glossy and smooth, with wonderful factor 7 shine. Out salon tip? Mix N°17 Defrizz Serum with N°62 Matte Cream to add texture and shine to short or medium length hair.

<b>INGREDIENTS</b> 
Dimethicone, Trisiloxane, Dimethiconol, Isodecyl Neopentanoate, Tocopheryl Acetate, Dipropylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Methoxycinnamate, Parfum (Fragrance), Aqua (Water), Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Phenoxyethanol, Potassium Sorbate. 

Disclaimer: product information such as ingredients may change. Always read the packaging or instructions for use before using the product.",11.00,2,Hair Care,Keune
,,,,,,
,Care Color Brilliance Mask - 500 ML,"An intensive caring mask for color-treated tresses. The Color Sealing Complex ensures long-lasting color brilliance, while the moisturizing, restoring formula repairs, protects and strengthens the hair. 

<b>Features:</b> 
- Sunflower seed extract nourishes and neutralizes free radicals, which will extend the longevity of your color 
- Silk proteins deeply moisturize, nourish and add luminous shine 
- Protective barrier around each strand, which locks pigments in 
- UVA and UVB filters block out the sun’s rays to keep your color from fading 

<b>How to use:</b> 
- Use once a week after shampoo instead of your conditioner 
- Apply to lengths and ends and indulge for 3 to 5 minutes",15.00,1,Hair Care,Keune
,Care Vital Nutrition Mask - 500 ML,"A luxurious treatment that improves elasticity, soothes damaged strands, strengthens and adds shine. Its rich formula is made with wheat proteins, keravis and a blend of five essential minerals so your hair is left healthy, soft and shiny. Good for all hair types specially fragile, extremely dry and damaged hair. 

<b>How to use:</b> 
- Use once a week after shampoo instead of your conditioner 
- Apply to lengths and ends and indulge for 3 to 5 minutes before rinsing",15.00,,Hair Care,Keune
,Care Keratin Smooth 2 Phase Spary,"Keratin Smooth 2-Phase Spray is an instantly smoothing, softening and detangling conditioner. Incredibly lightweight thanks to its low pH level, it regulates the moisture balance in your hair while strengthening strands from the inside out. It also adds instant shine and makes your hair easy to comb through and style. Simply mist on damp or dry hair and go about your day!

- MADE BY HAIR PROFESSIONALS SINCE 1922
- ALL OUR PRODUCTS ARE 100% CRUELTY FREE
- GET YOUR PRODUCTS IN A KEUNE SALON NEAR YOU

<b>INGREDIENTS</b>
Aqua (Water), Cyclopentasiloxane, PEG-12 Dimethicone, Lactic Acid, Cetrimonium Chloride, Phenyl Trimethicone, Sodium Benzoate, Polyquaternium-4, Hydrolyzed Keratin, Dimethiconol, Benzophenone-4, Parfum (Fragrance), Propylene Glycol, Polysilicone-18 Cetyl Phosphate, Phenoxyethanol, Potassium Sorbate, Saccharomyces/Magnesium Ferment, CI 42090 (Blue 1), Saccharomyces/Iron Ferment, Saccharomyces/Zinc Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Hexyl Cinnamal, Limonene, Linalool.

Disclaimer: product information such as ingredients may change. Always read the packaging or instructions for use before using the product.",10.00,1,Hair Care,Keune
,Max Love Studio Lipstick (Shade 405),,2.00,2,Cosmetics,
,Max love Studio Lipstick (Shade 401),,2.00,1,Cosmetics,
,Max love Studio Lipstick (Shade 403),,2.00,1,Cosmetics,
,Max love Studio Lipstick (Shade 25),,2.50,2,Cosmetics,
,Max love Studio Lipstick (Shade 318),,2.50,1,Cosmetics,
,Max love Studio Lipstick (Shade 313),,2.50,2,Cosmetics,
,Max love Studio Lipstick (Shade 02),,2.50,1,Cosmetics,
,Max love Studio Lipstick (Shade 08),,2.50,1,Cosmetics,
,Max love Studio Lipstick (Shade 317),,2.50,1,Cosmetics,
,Ultimate Blonde Platinum (Mask),,13.00,2,Hair Care,
,Ultimate Blonde Shampoo (Matizador ),,11.00,3,Hair Care,
,Small beads necklace (cream white),,3.50,1,Accessories,
,Acrylic necklace chunky (chain),,3.50,1,Accessories,
,Acrylic Neclace Circles (Yellow),,3.50,1,Accessories,
,Acrylic Neclace Circles (Mint green),,3.50,1,Accessories,
,Acrylic Neclace Circles (Light green ),,3.50,2,Accessories,
,Mio Hair brush,,2.50,2,Accessories,
,Ricca Hair Brush,,2.50,1,Accessories,
,Acessories Bag,,10.00,1,Accessories,
,Kids Havaianas Flip flops (25/26),,6.00,1,Foot Wear,Havaianas
,Kids Havaianas Flip flops (27/28),,6.00,1,Foot Wear,Havaianas
,Kids Havaianas Heroes Flip flops (33/34),,7.00,1,Foot Wear,Havaianas
,Kids Havaianas Princess Flip Flops (29),,7.00,1,Foot Wear,Havaianas
,Kids Havaianas Mermaid Flip Flops (29),,7.00,1,Foot Wear,Havaianas
,Ladies Havaianas Sandal W/ heart accessories (37-38),,7.00,1,Foot Wear,Havaianas
,Ladies Havaianas flip flop brown (35-36),,7.00,1,Foot Wear,HAvaianas
,Ladies Havaianas flip flop mixed color (39-40),,7.00,1,Foot Wear,Havaianas
,Men havaianas Blue Flip flops (39-40),,6.00,1,Foot Wear,Havaianas
,Men havaianas Navy blue Flip flops (41-42),,7.00,1,Foot Wear,Havaianas
